Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Deconychura longicauda;Deconychura longicauda;AVIBASE-15B327AC;Deconychura longicauda;AVIBASE-7CC23E9A;Deconychura longicauda;Deconychura longicauda;103661261;https://www.iucnredlist.org/details/103661261/0;LC
Dendrocincla anabatina;Dendrocincla anabatina;AVIBASE-635B57DB;Dendrocincla anabatina;AVIBASE-635B57DB;Dendrocincla anabatina;Dendrocincla anabatina;22703020;https://www.iucnredlist.org/details/22703020/0;LC
Dendrocincla fuliginosa;Dendrocincla fuliginosa;AVIBASE-757E2994;Dendrocincla fuliginosa;AVIBASE-A31278C7;Dendrocincla fuliginosa;Dendrocincla fuliginosa;22703010;https://www.iucnredlist.org/details/22703010/0;LC
Dendrocincla homochroa;Dendrocincla homochroa;AVIBASE-A36EA748;Dendrocincla homochroa;AVIBASE-A36EA748;Dendrocincla homochroa;Dendrocincla homochroa;22703026;https://www.iucnredlist.org/details/22703026/0;LC
Dendrocincla merula;Dendrocincla merula;AVIBASE-A3525AA5;Dendrocincla merula;AVIBASE-A3525AA5;Dendrocincla merula;Dendrocincla merula;22703023;https://www.iucnredlist.org/details/22703023/0;LC
Dendrocitta occipitalis;Dendrocitta occipitalis;AVIBASE-BF723D53;Dendrocitta occipitalis;AVIBASE-BF723D53;Dendrocitta occipitalis;Dendrocitta occipitalis;103719284;https://www.iucnredlist.org/details/103719284/0;LC
Dendrocolaptes certhia;Dendrocolaptes certhia;AVIBASE-8B206172;Dendrocolaptes certhia;AVIBASE-8B206172;Dendrocolaptes certhia;Dendrocolaptes certhia;22703079;https://www.iucnredlist.org/details/22703079/0;LC
Dendrocolaptes picumnus;Dendrocolaptes picumnus;AVIBASE-3459505D;Dendrocolaptes picumnus;AVIBASE-3459505D;Dendrocolaptes picumnus;Dendrocolaptes picumnus;22703089;https://www.iucnredlist.org/details/22703089/0;LC
Dendrocopus canicapillus;Picoides canicapillus;AVIBASE-5A4F2DF6;Yungipicus canicapillus;AVIBASE-5A4F2DF6;Dendrocopos canicapillus;Picoides canicapillus;22681068;https://www.iucnredlist.org/details/22681068/0;LC
Deroptyus accipitrinus;Deroptyus accipitrinus;AVIBASE-821D0A48;Deroptyus accipitrinus;AVIBASE-821D0A48;Deroptyus accipitrinus;Deroptyus accipitrinus;22686416;https://www.iucnredlist.org/details/22686416/0;LC
Dicaeum cruentatum;Dicaeum cruentatum;AVIBASE-10016732;Dicaeum cruentatum;AVIBASE-10016732;Dicaeum cruentatum;Dicaeum cruentatum;22717584;https://www.iucnredlist.org/details/22717584/0;LC
Dicaeum ignipectus;Dicaeum ignipectus;AVIBASE-907DF569;Dicaeum ignipectus;AVIBASE-7BA8912D;Dicaeum ignipectus;Dicaeum ignipectus;103776843;https://www.iucnredlist.org/details/103776843/0;LC
Dicaeum minullum;Dicaeum minullum;AVIBASE-F7C0A8B3;Dicaeum minullum;AVIBASE-F26BDDA7;Dicaeum concolor;Dicaeum minullum;103776140;https://www.iucnredlist.org/details/103776140/0;LC
Dicaeum trigonostigma;Dicaeum trigonostigma;AVIBASE-3E81AAE0;Dicaeum trigonostigma;AVIBASE-3E81AAE0;Dicaeum trigonostigma;Dicaeum trigonostigma;22717519;https://www.iucnredlist.org/details/22717519/0;LC
Dicrurus paradiseus;Dicrurus paradiseus;AVIBASE-2042CD42;Dicrurus paradiseus;AVIBASE-2042CD42;Dicrurus paradiseus;Dicrurus paradiseus;103711122;https://www.iucnredlist.org/details/103711122/0;LC
Dinopium rafflesii;Dinopium rafflesii;AVIBASE-FFD0A230;Dinopium rafflesii;AVIBASE-FFD0A230;Dinopium rafflesii;Chloropicoides rafflesii;22681493;https://www.iucnredlist.org/details/22681493/0;NT
Diphixia pipra;Pseudopipra pipra;AVIBASE-1C833562;Pseudopipra pipra;AVIBASE-1C833562;Pipra pipra;Pseudopipra pipra;22701009;https://www.iucnredlist.org/details/22701009/0;LC
Dryocopus javensis;Dryocopus javensis;AVIBASE-08741518;Dryocopus javensis;AVIBASE-08741518;Dryocopus javensis;Dryocopus javensis;22681376;https://www.iucnredlist.org/details/22681376/0;LC
Dryocopus lineatus;Hylatomus lineatus;AVIBASE-37C7AB16;Dryocopus lineatus;AVIBASE-3CD8FECC;Dryocopus lineatus;Hylatomus lineatus;22726489;https://www.iucnredlist.org/details/22726489/0;LC
Ducula aenea;Ducula aenea;AVIBASE-D1E845C5;Ducula aenea;AVIBASE-2C2B5EE2;Ducula aenea;Ducula aenea;200094385;https://www.iucnredlist.org/details/200094385/0;NT
Ducula badia;Ducula badia;AVIBASE-16E10A30;Ducula badia;AVIBASE-FD2D7608;Ducula badia;Ducula badia;22727856;https://www.iucnredlist.org/details/22727856/0;LC
Dysithamnus mentalis;Dysithamnus mentalis;AVIBASE-90AD65F2;Dysithamnus mentalis;AVIBASE-90AD65F2;Dysithamnus mentalis;Dysithamnus mentalis;22701378;https://www.iucnredlist.org/details/22701378/0;LC
Dysithamnus striaticeps;Dysithamnus striaticeps;AVIBASE-28CB49C7;Dysithamnus striaticeps;AVIBASE-28CB49C7;Dysithamnus striaticeps;Dysithamnus striaticeps;22701381;https://www.iucnredlist.org/details/22701381/0;LC
Elanoides forficatus;Elanoides forficatus;AVIBASE-1BAC6645;Elanoides forficatus;AVIBASE-1BAC6645;Elanoides forficatus;Elanoides forficatus;22695017;https://www.iucnredlist.org/details/22695017/0;LC
Erythropitta granatina;Erythropitta granatina;AVIBASE-FE4701A9;Erythropitta granatina;AVIBASE-FE4701A9;Pitta granatina;Erythropitta granatina;22735819;https://www.iucnredlist.org/details/22735819/0;NT
Eucometis penicillata;Eucometis penicillata;AVIBASE-05296BB4;Eucometis penicillata;AVIBASE-05296BB4;Eucometis penicillata;Eucometis penicillata;22722343;https://www.iucnredlist.org/details/22722343/0;LC
Eumyias indigo;Eumyias indigo;AVIBASE-BFD3F2BE;Eumyias indigo;AVIBASE-097312DE;Eumyias indigo;Eumyias indigo;103758482;https://www.iucnredlist.org/details/103758482/0;LC
Eupetes macrocerus;Eupetes macrocerus;AVIBASE-BC5165E4;Eupetes macrocerus;AVIBASE-BC5165E4;Eupetes macrocerus;Eupetes macrocerus;22705375;https://www.iucnredlist.org/details/22705375/0;NT
Euphonia cayennensis;Euphonia cayennensis;AVIBASE-68B4875F;Euphonia cayennensis;AVIBASE-68B4875F;Euphonia cayennensis;Euphonia cayennensis;22722772;https://www.iucnredlist.org/details/22722772/0;LC
Euphonia gouldi;Euphonia gouldi;AVIBASE-C3FD23AB;Euphonia gouldi;AVIBASE-C3FD23AB;Euphonia gouldi;Euphonia gouldi;22722750;https://www.iucnredlist.org/details/22722750/0;LC
Eupsittula nana;Eupsittula nana;AVIBASE-BCBE9A76;Eupsittula nana;AVIBASE-31172F88;Aratinga nana;Eupsittula nana;45418540;https://www.iucnredlist.org/details/45418540/0;NT
Eurylaimus javanicus;Eurylaimus javanicus;AVIBASE-EBFD9B87;Eurylaimus javanicus;AVIBASE-07D343CC;Eurylaimus javanicus;Eurylaimus javanicus;103656944;https://www.iucnredlist.org/details/103656944/0;NT
Eurylaimus ochromalus;Eurylaimus ochromalus;AVIBASE-C429744B;Eurylaimus ochromalus;AVIBASE-C429744B;Eurylaimus ochromalus;Eurylaimus ochromalus;22698735;https://www.iucnredlist.org/details/22698735/0;NT
Eurypyga helias;Eurypyga helias;AVIBASE-900C590B;Eurypyga helias;AVIBASE-900C590B;Eurypyga helias;Eurypyga helias;22691893;https://www.iucnredlist.org/details/22691893/0;LC
Ficedula hyperythra;Ficedula hyperythra;AVIBASE-0EEEF8C2;Ficedula hyperythra;AVIBASE-0EEEF8C2;Ficedula hyperythra;Ficedula hyperythra;103769540;https://www.iucnredlist.org/details/103769540/0;LC
Ficedula mugimaki;Ficedula mugimaki;AVIBASE-0557B8E5;Ficedula mugimaki;AVIBASE-0557B8E5;Ficedula mugimaki;Ficedula mugimaki;22709331;https://www.iucnredlist.org/details/22709331/0;LC
Ficedula westermanni;Ficedula westermanni;AVIBASE-58F57E07;Ficedula westermanni;AVIBASE-58F57E07;Ficedula westermanni;Ficedula westermanni;22709403;https://www.iucnredlist.org/details/22709403/0;LC
Florisuga mellivora;Florisuga mellivora;AVIBASE-80DA0464;Florisuga mellivora;AVIBASE-80DA0464;Florisuga mellivora;Florisuga mellivora;22687097;https://www.iucnredlist.org/details/22687097/0;LC
Formicarius analis;Formicarius analis;AVIBASE-7E4EE12D;Formicarius analis;AVIBASE-7E4EE12D;Formicarius analis;Formicarius analis;103661243;https://www.iucnredlist.org/details/103661243/0;LC
Formicarius colma;Formicarius colma;AVIBASE-4564EA5A;Formicarius colma;AVIBASE-4564EA5A;Formicarius colma;Formicarius colma;22703197;https://www.iucnredlist.org/details/22703197/0;LC
Formicarius nigricapillus;Formicarius nigricapillus;AVIBASE-7E82BA92;Formicarius nigricapillus;AVIBASE-7E82BA92;Formicarius nigricapillus;Formicarius nigricapillus;22703206;https://www.iucnredlist.org/details/22703206/0;LC
Francolinus lathami;Peliperdix lathami;AVIBASE-E11585DB;Peliperdix lathami;AVIBASE-E11585DB;Francolinus lathami;Peliperdix lathami;22678748;https://www.iucnredlist.org/details/22678748/0;LC
