Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Hylophilus ochraceiceps;Tunchiornis ochraceiceps;AVIBASE-F57C6C31;Tunchiornis ochraceiceps;AVIBASE-ED290593;Hylophilus ochraceiceps;Tunchiornis ochraceiceps;103693796;https://www.iucnredlist.org/details/103693796/0;LC
Hylophilus pectoralis;Hylophilus pectoralis;AVIBASE-18CB2D8A;Hylophilus pectoralis;AVIBASE-18CB2D8A;Hylophilus pectoralis;Hylophilus pectoralis;22705290;https://www.iucnredlist.org/details/22705290/0;LC
Hylophylax naevioides;Hylophylax naevioides;AVIBASE-87EC4643;Hylophylax naevioides;AVIBASE-87EC4643;Hylophylax naevioides;Hylophylax naevioides;22701911;https://www.iucnredlist.org/details/22701911/0;LC
Hylophylax naevius;Hylophylax naevius;AVIBASE-363EDFA8;Hylophylax naevius;AVIBASE-363EDFA8;Hylophylax naevius;Hylophylax naevius;22701914;https://www.iucnredlist.org/details/22701914/0;LC
Hypocnemis cantator;Hypocnemis cantator;AVIBASE-C1CDE25A;Hypocnemis cantator;AVIBASE-C1CDE25A;Hypocnemis cantator;Hypocnemis cantator;22735467;https://www.iucnredlist.org/details/22735467/0;LC
Hypocnemoides melanopogon;Hypocnemoides melanopogon;AVIBASE-78853651;Hypocnemoides melanopogon;AVIBASE-78853651;Hypocnemoides melanopogon;Hypocnemoides melanopogon;22701737;https://www.iucnredlist.org/details/22701737/0;LC
Hypothymis azurea;Hypothymis azurea;AVIBASE-0AC5BA0A;Hypothymis azurea;AVIBASE-0AC5BA0A;Hypothymis azurea;Hypothymis azurea;103715755;https://www.iucnredlist.org/details/103715755/0;LC
Ibycter americanus;Ibycter americanus;AVIBASE-104A2994;Ibycter americanus;AVIBASE-104A2994;Ibycter americanus;Ibycter americanus;22696229;https://www.iucnredlist.org/details/22696229/0;LC
Iole charlottae;Iole charlottae;AVIBASE-044240A9;Iole charlottae;AVIBASE-BD51402C;Iole olivacea;Iole charlottae;22713170;https://www.iucnredlist.org/details/22713170/0;NT
Irena puella;Irena puella;AVIBASE-BFC86948;Irena puella;AVIBASE-213AA070;Irena puella;Irena puella;103775156;https://www.iucnredlist.org/details/103775156/0;LC
Ixos virescens;Ixos virescens;AVIBASE-92BF7060;Ixos virescens;AVIBASE-BB8791BF;Hypsipetes virescens;Ixos virescens;103823071;https://www.iucnredlist.org/details/103823071/0;LC
Jacamerops aureus;Jacamerops aureus;AVIBASE-268D9909;Jacamerops aureus;AVIBASE-268D9909;Jacamerops aureus;Jacamerops aureus;22682224;https://www.iucnredlist.org/details/22682224/0;LC
Lacedo pulchella;Lacedo pulchella;AVIBASE-7082A89B;Lacedo pulchella;AVIBASE-303D5356;Lacedo pulchella;Lacedo pulchella;22726905;https://www.iucnredlist.org/details/22726905/0;LC
Lamprospiza melanoleuca;Lamprospiza melanoleuca;AVIBASE-099CDCB9;Lamprospiza melanoleuca;AVIBASE-099CDCB9;Lamprospiza melanoleuca;Lamprospiza melanoleuca;22722139;https://www.iucnredlist.org/details/22722139/0;LC
Lanio fulvus;Lanio fulvus;AVIBASE-FD883BFD;Lanio fulvus;AVIBASE-FD883BFD;Lanio fulvus;Lanio fulvus;22722347;https://www.iucnredlist.org/details/22722347/0;LC
Lanio leucothorax;Lanio leucothorax;AVIBASE-B08CF996;Lanio leucothorax;AVIBASE-B08CF996;Lanio leucothorax;Lanio leucothorax;22722359;https://www.iucnredlist.org/details/22722359/0;NT
Laniocera hypopyrra;Laniocera hypopyrra;AVIBASE-8C350908;Laniocera hypopyrra;AVIBASE-8C350908;Laniocera hypopyrra;Laniocera hypopyrra;22700386;https://www.iucnredlist.org/details/22700386/0;LC
Lepidothrix serena;Lepidothrix serena;AVIBASE-33C4A8B0;Lepidothrix serena;AVIBASE-33C4A8B0;Lepidothrix serena;Lepidothrix serena;22701027;https://www.iucnredlist.org/details/22701027/0;LC
Leptotila rufaxilla;Leptotila rufaxilla;AVIBASE-684B9362;Leptotila rufaxilla;AVIBASE-684B9362;Leptotila rufaxilla;Leptotila rufaxilla;22690877;https://www.iucnredlist.org/details/22690877/0;LC
Leptotrygon veraguensis;Leptotrygon veraguensis;AVIBASE-BB65071B;Leptotrygon veraguensis;AVIBASE-BB65071B;Geotrygon veraguensis;Leptotrygon veraguensis;22690928;https://www.iucnredlist.org/details/22690928/0;LC
Lipaugus vociferans;Lipaugus vociferans;AVIBASE-7F74A595;Lipaugus vociferans;AVIBASE-7F74A595;Lipaugus vociferans;Lipaugus vociferans;22700856;https://www.iucnredlist.org/details/22700856/0;LC
Lophoceros camurus;Lophoceros camurus;AVIBASE-53D72911;Lophoceros camurus;AVIBASE-53D72911;Tockus camurus;Lophoceros camurus;22682363;https://www.iucnredlist.org/details/22682363/0;LC
Lophoceros semifasciatus;Lophoceros semifasciatus;AVIBASE-89218876;Lophoceros fasciatus;AVIBASE-202D9FBB;Tockus fasciatus;Lophoceros semifasciatus;61612971;https://www.iucnredlist.org/details/61612971/0;LC
Lophotriccus galeatus;Lophotriccus galeatus;AVIBASE-AD336ABC;Lophotriccus galeatus;AVIBASE-AD336ABC;Lophotriccus galeatus;Lophotriccus galeatus;22699569;https://www.iucnredlist.org/details/22699569/0;LC
Lophotriccus pileatus;Lophotriccus pileatus;AVIBASE-ACC831CF;Lophotriccus pileatus;AVIBASE-ACC831CF;Lophotriccus pileatus;Lophotriccus pileatus;22699554;https://www.iucnredlist.org/details/22699554/0;LC
Loriculus galgulus;Loriculus galgulus;AVIBASE-34FA84EF;Loriculus galgulus;AVIBASE-34FA84EF;Loriculus galgulus;Loriculus galgulus;22685384;https://www.iucnredlist.org/details/22685384/0;LC
Loriculus philippensis;Loriculus philippensis;AVIBASE-A9DCD4B6;Loriculus philippensis;AVIBASE-ACFBE74D;Loriculus philippensis;Loriculus philippensis;22685376;https://www.iucnredlist.org/details/22685376/0;LC
Macronus gularis;Mixornis gularis;AVIBASE-4E2700ED;Mixornis gularis;AVIBASE-4E2700ED;Macronous gularis;Mixornis gularis;22735162;https://www.iucnredlist.org/details/22735162/0;LC
Macronus ptilosus;Macronus ptilosus;AVIBASE-462272BA;Macronus ptilosus;AVIBASE-462272BA;Macronous ptilosus;Macronus ptilosus;22716310;https://www.iucnredlist.org/details/22716310/0;NT
Macropygia ruficeps;Macropygia ruficeps;AVIBASE-890C54C3;Macropygia ruficeps;AVIBASE-890C54C3;Macropygia ruficeps;Macropygia ruficeps;22690576;https://www.iucnredlist.org/details/22690576/0;LC
Macropygia tenuirostris;Macropygia tenuirostris;AVIBASE-5F4401F8;Macropygia tenuirostris;AVIBASE-C1066969;Macropygia tenuirostris;Macropygia tenuirostris;22690553;https://www.iucnredlist.org/details/22690553/0;LC
Malacopteron affine;Malacopteron affine;AVIBASE-B7AA8B6E;Malacopteron affine;AVIBASE-B7AA8B6E;Malacopteron affine;Malacopteron affine;22715876;https://www.iucnredlist.org/details/22715876/0;NT
Malacopteron cinereum;Malacopteron cinereum;AVIBASE-9AB7E1FF;Malacopteron cinereum;AVIBASE-9AB7E1FF;Malacopteron cinereum;Malacopteron cinereum;22715879;https://www.iucnredlist.org/details/22715879/0;LC
Malacopteron magnirostre;Malacopteron magnirostre;AVIBASE-7DB7D6CE;Malacopteron magnirostre;AVIBASE-7DB7D6CE;Malacopteron magnirostre;Malacopteron magnirostre;22715873;https://www.iucnredlist.org/details/22715873/0;LC
Malacopteron magnum;Malacopteron magnum;AVIBASE-A23AFA06;Malacopteron magnum;AVIBASE-A23AFA06;Malacopteron magnum;Malacopteron magnum;22715882;https://www.iucnredlist.org/details/22715882/0;NT
Malacoptila panamensis;Malacoptila panamensis;AVIBASE-46451CCE;Malacoptila panamensis;AVIBASE-46451CCE;Malacoptila panamensis;Malacoptila panamensis;22682292;https://www.iucnredlist.org/details/22682292/0;LC
Manacus candei;Manacus candei;AVIBASE-9DF85999;Manacus candei;AVIBASE-9DF85999;Manacus candei;Manacus candei;22701103;https://www.iucnredlist.org/details/22701103/0;LC
Manacus manacus;Manacus manacus;AVIBASE-091F833E;Manacus manacus;AVIBASE-091F833E;Manacus manacus;Manacus manacus;22701112;https://www.iucnredlist.org/details/22701112/0;LC
Megalaima oorti;Psilopogon oorti;AVIBASE-ED45D950;Psilopogon oorti;AVIBASE-ED45D950;Megalaima oorti;Psilopogon oorti;45360321;https://www.iucnredlist.org/details/45360321/0;LC
Megapodius cumingii;Megapodius cumingii;AVIBASE-A3FF8DCA;Megapodius cumingii;AVIBASE-A3FF8DCA;Megapodius cumingii;Megapodius cumingii;22678588;https://www.iucnredlist.org/details/22678588/0;LC
Meiglyptes tristis;Meiglyptes tristis;AVIBASE-C24A0885;Meiglyptes tristis;AVIBASE-2F0FBE04;Meiglyptes tristis;Meiglyptes tristis;22727198;https://www.iucnredlist.org/details/22727198/0;EN
Meiglyptes tukki;Meiglyptes tukki;AVIBASE-A858DD82;Meiglyptes tukki;AVIBASE-A858DD82;Meiglyptes tukki;Meiglyptes tukki;22681562;https://www.iucnredlist.org/details/22681562/0;NT
Meleagris ocellata;Meleagris ocellata;AVIBASE-729BEC33;Meleagris ocellata;AVIBASE-729BEC33;Meleagris ocellata;Meleagris ocellata;22679529;https://www.iucnredlist.org/details/22679529/0;NT
Micrastur gilvicollis;Micrastur gilvicollis;AVIBASE-780CB54B;Micrastur gilvicollis;AVIBASE-780CB54B;Micrastur gilvicollis;Micrastur gilvicollis;22696281;https://www.iucnredlist.org/details/22696281/0;LC
Micrastur ruficollis;Micrastur ruficollis;AVIBASE-846E1C25;Micrastur ruficollis;AVIBASE-846E1C25;Micrastur ruficollis;Micrastur ruficollis;22696270;https://www.iucnredlist.org/details/22696270/0;LC
Micrastur semitorquatus;Micrastur semitorquatus;AVIBASE-8217BC4F;Micrastur semitorquatus;AVIBASE-8217BC4F;Micrastur semitorquatus;Micrastur semitorquatus;22696291;https://www.iucnredlist.org/details/22696291/0;LC
Microbates collaris;Microbates collaris;AVIBASE-2C4579F1;Microbates collaris;AVIBASE-2C4579F1;Microbates collaris;Microbates collaris;22711571;https://www.iucnredlist.org/details/22711571/0;LC
Microcerculus bambla;Microcerculus bambla;AVIBASE-E4221D69;Microcerculus bambla;AVIBASE-E4221D69;Microcerculus bambla;Microcerculus bambla;22711551;https://www.iucnredlist.org/details/22711551/0;LC
Microcerculus philomela;Microcerculus philomela;AVIBASE-85F08EC1;Microcerculus philomela;AVIBASE-85F08EC1;Microcerculus philomela;Microcerculus philomela;22711537;https://www.iucnredlist.org/details/22711537/0;LC
Microchera albocoronata;Microchera albocoronata;AVIBASE-B99E16AF;Microchera albocoronata;AVIBASE-B99E16AF;Microchera albocoronata;Microchera albocoronata;22687649;https://www.iucnredlist.org/details/22687649/0;LC
Micropternus brachyurus;Micropternus brachyurus;AVIBASE-663A7CCA;Micropternus brachyurus;AVIBASE-663A7CCA;Celeus brachyurus;Micropternus brachyurus;22681314;https://www.iucnredlist.org/details/22681314/0;LC
Microtarsus atriceps;Brachypodius atriceps;AVIBASE-C72EC8C8;Brachypodius melanocephalos;AVIBASE-C72EC8C8;Pycnonotus atriceps;Brachypodius atriceps;103836079;https://www.iucnredlist.org/details/103836079/0;LC
Mionectes macconnelli;Mionectes macconnelli;AVIBASE-7379144B;Mionectes macconnelli;AVIBASE-7379144B;Mionectes macconnelli;Mionectes macconnelli;103680198;https://www.iucnredlist.org/details/103680198/0;LC
Mionectes oleagineus;Mionectes oleagineus;AVIBASE-0EFCDBB8;Mionectes oleagineus;AVIBASE-0EFCDBB8;Mionectes oleagineus;Mionectes oleagineus;22698796;https://www.iucnredlist.org/details/22698796/0;LC
Mitu mitu;Mitu mitu;AVIBASE-333D3213;Mitu mitu;AVIBASE-333D3213;Mitu mitu;Mitu mitu;22678486;https://www.iucnredlist.org/details/22678486/0;EW
Mitu salvini;Mitu salvini;AVIBASE-D24A7EA3;Mitu salvini;AVIBASE-D24A7EA3;Mitu salvini;Mitu salvini;22678472;https://www.iucnredlist.org/details/22678472/0;LC
Mitu tomentosum;Mitu tomentosum;AVIBASE-5C20314D;Mitu tomentosum;AVIBASE-5C20314D;Mitu tomentosum;Mitu tomentosum;22678464;https://www.iucnredlist.org/details/22678464/0;NT
Mitu tuberosum;Mitu tuberosum;AVIBASE-303C9D79;Mitu tuberosum;AVIBASE-303C9D79;Mitu tuberosum;Mitu tuberosum;22678478;https://www.iucnredlist.org/details/22678478/0;NT
Mixornis gularis;Mixornis gularis;AVIBASE-4E2700ED;Mixornis gularis;AVIBASE-4E2700ED;Macronous gularis;Mixornis gularis;22735162;https://www.iucnredlist.org/details/22735162/0;LC
Momotus momota;Momotus momota;AVIBASE-7CE7EB2F;Momotus momota;AVIBASE-7CE7EB2F;Momotus momota;Momotus momota;61634607;https://www.iucnredlist.org/details/61634607/0;LC
Monasa atra;Monasa atra;AVIBASE-AD7DEF16;Monasa atra;AVIBASE-AD7DEF16;Monasa atra;Monasa atra;22682325;https://www.iucnredlist.org/details/22682325/0;LC
Morphnarchus princeps;Morphnarchus princeps;AVIBASE-C39D115A;Morphnarchus princeps;AVIBASE-C39D115A;Leucopternis princeps;Morphnarchus princeps;22695754;https://www.iucnredlist.org/details/22695754/0;LC
Morphnus guianensis;Morphnus guianensis;AVIBASE-E19434C9;Morphnus guianensis;AVIBASE-E19434C9;Morphnus guianensis;Morphnus guianensis;22695991;https://www.iucnredlist.org/details/22695991/0;NT
Muscicapella hodgsoni;Ficedula hodgsoni;AVIBASE-4A9906BA;Ficedula hodgsoni;AVIBASE-4A9906BA;Muscicapella hodgsoni;Ficedula hodgsoni;22709591;https://www.iucnredlist.org/details/22709591/0;LC
Myiobius barbatus;Myiobius barbatus;AVIBASE-EC9D7A78;Myiobius barbatus;AVIBASE-EC9D7A78;Myiobius barbatus;Myiobius barbatus;22731980;https://www.iucnredlist.org/details/22731980/0;LC
Myiobius sulphureipygius;Myiobius sulphureipygius;AVIBASE-40F33966;Myiobius sulphureipygius;AVIBASE-40F33966;Myiobius sulphureipygius;Myiobius sulphureipygius;22731699;https://www.iucnredlist.org/details/22731699/0;LC
Myiornis ecaudatus;Myiornis ecaudatus;AVIBASE-B452B696;Myiornis ecaudatus;AVIBASE-B452B696;Myiornis ecaudatus;Myiornis ecaudatus;22699549;https://www.iucnredlist.org/details/22699549/0;LC
Myrmeciza ferruginea;Myrmoderus ferrugineus;AVIBASE-228DEA40;Myrmoderus ferrugineus;AVIBASE-228DEA40;Myrmeciza ferruginea;Myrmoderus ferrugineus;22701792;https://www.iucnredlist.org/details/22701792/0;LC
Myrmelastes leucostigma;Myrmelastes leucostigma;AVIBASE-9736A466;Myrmelastes leucostigma;AVIBASE-9736A466;Schistocichla leucostigma;Myrmelastes leucostigma;22736153;https://www.iucnredlist.org/details/22736153/0;LC
Myrmothera campanisona;Myrmothera campanisona;AVIBASE-BEEF5743;Myrmothera campanisona;AVIBASE-A54A1842;Myrmothera campanisona;Myrmothera campanisona;22703355;https://www.iucnredlist.org/details/22703355/0;LC
Myrmotherula axillaris;Myrmotherula axillaris;AVIBASE-10BC73B2;Myrmotherula axillaris;AVIBASE-76C308FC;Myrmotherula axillaris;Myrmotherula axillaris;103657467;https://www.iucnredlist.org/details/103657467/0;LC
Myrmotherula fulviventris;Epinecrophylla fulviventris;AVIBASE-CB6DE0FA;Epinecrophylla fulviventris;AVIBASE-CB6DE0FA;Epinecrophylla fulviventris;Epinecrophylla fulviventris;22701469;https://www.iucnredlist.org/details/22701469/0;LC
Myrmotherula guttata;Isleria guttata;AVIBASE-29D98F31;Isleria guttata;AVIBASE-29D98F31;Myrmotherula guttata;Isleria guttata;22701460;https://www.iucnredlist.org/details/22701460/0;LC
Myrmotherula gutturalis;Epinecrophylla gutturalis;AVIBASE-4D816F31;Epinecrophylla gutturalis;AVIBASE-4D816F31;Myrmotherula gutturalis;Epinecrophylla gutturalis;22701466;https://www.iucnredlist.org/details/22701466/0;NT
Myrmotherula longipennis;Myrmotherula longipennis;AVIBASE-C80BFFF7;Myrmotherula longipennis;AVIBASE-C80BFFF7;Myrmotherula longipennis;Myrmotherula longipennis;22701511;https://www.iucnredlist.org/details/22701511/0;LC
Myrmotherula menetriesii;Myrmotherula menetriesii;AVIBASE-3DD03F2C;Myrmotherula menetriesii;AVIBASE-3DD03F2C;Myrmotherula menetriesii;Myrmotherula menetriesii;22701536;https://www.iucnredlist.org/details/22701536/0;LC
Napothera epilepidota;Napothera epilepidota;AVIBASE-F8F526E4;Napothera epilepidota;AVIBASE-F8F526E4;Napothera epilepidota;Napothera epilepidota;22716094;https://www.iucnredlist.org/details/22716094/0;LC
Napothera rufipectus;Turdinus rufipectus;AVIBASE-3B593D10;Gypsophila rufipectus;AVIBASE-3B593D10;Turdinus rufipectus;Gypsophila rufipecta;22716040;https://www.iucnredlist.org/details/22716040/0;LC
Neomorphus geoffroyi;Neomorphus geoffroyi;AVIBASE-6929B74D;Neomorphus geoffroyi;AVIBASE-28261C35;Neomorphus geoffroyi;Neomorphus geoffroyi;62144610;https://www.iucnredlist.org/details/62144610/0;VU
Neomorphus pucheranii;Neomorphus pucheranii;AVIBASE-CE4505F8;Neomorphus pucheranii;AVIBASE-CE4505F8;Neomorphus pucheranii;Neomorphus pucheranii;22684483;https://www.iucnredlist.org/details/22684483/0;LC
Neopipo cinnamomea;Neopipo cinnamomea;AVIBASE-81362B15;Neopipo cinnamomea;AVIBASE-81362B15;Neopipo cinnamomea;Neopipo cinnamomea;22701155;https://www.iucnredlist.org/details/22701155/0;LC
Niltava grandis;Niltava grandis;AVIBASE-75234D1E;Niltava grandis;AVIBASE-75234D1E;Niltava grandis;Niltava grandis;22709464;https://www.iucnredlist.org/details/22709464/0;LC
Nothocrax urumutum;Nothocrax urumutum;AVIBASE-B4CC6C9F;Nothocrax urumutum;AVIBASE-B4CC6C9F;Nothocrax urumutum;Nothocrax urumutum;22678461;https://www.iucnredlist.org/details/22678461/0;LC
Nyctipolus nigrescens;Nyctipolus nigrescens;AVIBASE-63F4EDD0;Nyctipolus nigrescens;AVIBASE-63F4EDD0;Caprimulgus nigrescens;Nyctipolus nigrescens;22689862;https://www.iucnredlist.org/details/22689862/0;LC
Nyctyornis amictus;Nyctyornis amictus;AVIBASE-793BF787;Nyctyornis amictus;AVIBASE-793BF787;Nyctyornis amictus;Nyctyornis amictus;22683661;https://www.iucnredlist.org/details/22683661/0;LC
Odontophorus erythrops;Odontophorus erythrops;AVIBASE-DCE5A946;Odontophorus erythrops;AVIBASE-DCE5A946;Odontophorus erythrops;Odontophorus erythrops;22679645;https://www.iucnredlist.org/details/22679645/0;LC
Odontophorus gujanensis;Odontophorus gujanensis;AVIBASE-B41E681C;Odontophorus gujanensis;AVIBASE-B41E681C;Odontophorus gujanensis;Odontophorus gujanensis;22679630;https://www.iucnredlist.org/details/22679630/0;LC
Odontophorus guttatus;Odontophorus guttatus;AVIBASE-B0E77189;Odontophorus guttatus;AVIBASE-B0E77189;Odontophorus guttatus;Odontophorus guttatus;22679703;https://www.iucnredlist.org/details/22679703/0;LC
Odontophorus leucolaemus;Odontophorus leucolaemus;AVIBASE-C874DFDD;Odontophorus leucolaemus;AVIBASE-C874DFDD;Odontophorus leucolaemus;Odontophorus leucolaemus;22679688;https://www.iucnredlist.org/details/22679688/0;LC
Odontophorus melanotis;Odontophorus melanotis;AVIBASE-DE957D9D;Odontophorus melanotis;AVIBASE-DE957D9D;Odontophorus melanotis;Odontophorus melanotis;22679640;https://www.iucnredlist.org/details/22679640/0;NT
Odontophorus stellatus;Odontophorus stellatus;AVIBASE-B2112708;Odontophorus stellatus;AVIBASE-B2112708;Odontophorus stellatus;Odontophorus stellatus;22679698;https://www.iucnredlist.org/details/22679698/0;LC
Onychorhynchus coronatus;Onychorhynchus coronatus;AVIBASE-659CF5C6;Onychorhynchus coronatus;AVIBASE-5197821F;Onychorhynchus coronatus;Onychorhynchus coronatus;22699647;https://www.iucnredlist.org/details/22699647/0;LC
Oporornis formosus;Geothlypis formosa;AVIBASE-8C105C3C;Geothlypis formosa;AVIBASE-8C105C3C;Oporornis formosus;Geothlypis formosa;22721812;https://www.iucnredlist.org/details/22721812/0;LC
Oriolus cruentus;Oriolus cruentus;AVIBASE-556DF2D6;Oriolus cruentus;AVIBASE-112F924B;Oriolus cruentus;Oriolus cruentus;103692619;https://www.iucnredlist.org/details/103692619/0;DD
Oriolus xanthonotus;Oriolus xanthonotus;AVIBASE-B4F2D2F7;Oriolus xanthonotus;AVIBASE-B4F2D2F7;Oriolus xanthonotus;Oriolus xanthonotus;22706369;https://www.iucnredlist.org/details/22706369/0;NT
Ortalis guttata;Ortalis guttata;AVIBASE-3BA3E03E;Ortalis guttata;AVIBASE-3BA3E03E;Ortalis guttata;Ortalis guttata;155238855;https://www.iucnredlist.org/details/155238855/0;LC
Ortalis motmot;Ortalis motmot;AVIBASE-EE30379C;Ortalis motmot;AVIBASE-E0BC6A2E;Ortalis motmot;Ortalis motmot;22678342;https://www.iucnredlist.org/details/22678342/0;LC
Ortalis vetula;Ortalis vetula;AVIBASE-F4F49CCB;Ortalis vetula;AVIBASE-F4F49CCB;Ortalis vetula;Ortalis vetula;22678305;https://www.iucnredlist.org/details/22678305/0;LC
Orthotomus atrogularis;Orthotomus atrogularis;AVIBASE-69618EFB;Orthotomus atrogularis;AVIBASE-69618EFB;Orthotomus atrogularis;Orthotomus atrogularis;22714985;https://www.iucnredlist.org/details/22714985/0;LC
Orthotomus cuculatus;Phyllergates cucullatus;AVIBASE-39C48CCA;Phyllergates cucullatus;AVIBASE-39C48CCA;Orthotomus cuculatus;Phyllergates cucullatus;22714976;https://www.iucnredlist.org/details/22714976/0;LC
Orthotomus ruficeps;Orthotomus ruficeps;AVIBASE-6C405431;Orthotomus ruficeps;AVIBASE-6C405431;Orthotomus ruficeps;Orthotomus ruficeps;22715000;https://www.iucnredlist.org/details/22715000/0;LC
Orthotomus sericeus;Orthotomus sericeus;AVIBASE-D127FAAF;Orthotomus sericeus;AVIBASE-D127FAAF;Orthotomus sericeus;Orthotomus sericeus;22714997;https://www.iucnredlist.org/details/22714997/0;LC
Parus cinereus;Parus major;AVIBASE-1FA19549;Parus cinereus;AVIBASE-99CF4A04;Parus major;Parus major;22735990;https://www.iucnredlist.org/details/22735990/0;LC
Patagioenas nigrirostris;Patagioenas nigrirostris;AVIBASE-1D706BD0;Patagioenas nigrirostris;AVIBASE-1D706BD0;Patagioenas nigrirostris;Patagioenas nigrirostris;22690334;https://www.iucnredlist.org/details/22690334/0;LC
Patagioenas plumbea;Patagioenas plumbea;AVIBASE-CD161B09;Patagioenas plumbea;AVIBASE-CD161B09;Patagioenas plumbea;Patagioenas plumbea;22690321;https://www.iucnredlist.org/details/22690321/0;LC
Patagioenas speciosa;Patagioenas speciosa;AVIBASE-3EAF0903;Patagioenas speciosa;AVIBASE-3EAF0903;Patagioenas speciosa;Patagioenas speciosa;22690235;https://www.iucnredlist.org/details/22690235/0;LC
Patagioenas subvinacea;Patagioenas subvinacea;AVIBASE-F4F72BD9;Patagioenas subvinacea;AVIBASE-F4F72BD9;Patagioenas subvinacea;Patagioenas subvinacea;22690328;https://www.iucnredlist.org/details/22690328/0;LC
Pavo muticus;Pavo muticus;AVIBASE-990B9171;Pavo muticus;AVIBASE-990B9171;Pavo muticus;Pavo muticus;22679440;https://www.iucnredlist.org/details/22679440/0;EN
Pellorneum bicolor;Trichastoma bicolor;AVIBASE-D4A0A875;Pellorneum bicolor;AVIBASE-D4A0A875;Trichastoma bicolor;Pellorneum bicolor;22715798;https://www.iucnredlist.org/details/22715798/0;LC
Pellorneum capistratum;Pellorneum capistratum;AVIBASE-492BAC9A;Pellorneum capistratum;AVIBASE-A805DF2C;Pellorneum capistratum;Pellorneum capistratum;103869220;https://www.iucnredlist.org/details/103869220/0;LC
Pellorneum malaccense;Trichastoma malaccense;AVIBASE-BF150AB3;Pellorneum malaccense;AVIBASE-BF150AB3;Malacocincla malaccensis;Pellorneum malaccense;22715834;https://www.iucnredlist.org/details/22715834/0;NT
Pellorneum rostratum;Trichastoma rostratum;AVIBASE-F13200CB;Pellorneum rostratum;AVIBASE-F13200CB;Trichastoma rostratum;Pellorneum rostratum;22715792;https://www.iucnredlist.org/details/22715792/0;NT
Penelope jacquacu;Penelope jacquacu;AVIBASE-1D1EDAF0;Penelope jacquacu;AVIBASE-1D1EDAF0;Penelope jacquacu;Penelope jacquacu;22678386;https://www.iucnredlist.org/details/22678386/0;LC
Penelope marail;Penelope marail;AVIBASE-B08C691D;Penelope marail;AVIBASE-B08C691D;Penelope marail;Penelope marail;22678367;https://www.iucnredlist.org/details/22678367/0;LC
Penelope pileata;Penelope pileata;AVIBASE-474C532A;Penelope pileata;AVIBASE-474C532A;Penelope pileata;Penelope pileata;22678392;https://www.iucnredlist.org/details/22678392/0;VU
Penelope purpurascens;Penelope purpurascens;AVIBASE-01A38979;Penelope purpurascens;AVIBASE-01A38979;Penelope purpurascens;Penelope purpurascens;22678376;https://www.iucnredlist.org/details/22678376/0;NT
Penelope superciliaris;Penelope superciliaris;AVIBASE-28799734;Penelope superciliaris;AVIBASE-28799734;Penelope superciliaris;Penelope superciliaris;22678370;https://www.iucnredlist.org/details/22678370/0;NT
Penelopides manillae;Penelopides manillae;AVIBASE-FB6FE713;Penelopides manillae;AVIBASE-FB6FE713;Penelopides manillae;Penelopides manillae;22682488;https://www.iucnredlist.org/details/22682488/0;LC
Percnostola rufifrons;Percnostola rufifrons;AVIBASE-B8FE31D0;Percnostola rufifrons;AVIBASE-B8FE31D0;Percnostola rufifrons;Percnostola rufifrons;22701752;https://www.iucnredlist.org/details/22701752/0;LC
Pericrocotus flammeus;Pericrocotus flammeus;AVIBASE-7F97F882;Pericrocotus flammeus;AVIBASE-1B2C7B12;Pericrocotus flammeus;Pericrocotus flammeus;22706766;https://www.iucnredlist.org/details/22706766/0;LC
Perissocephalus tricolor;Perissocephalus tricolor;AVIBASE-5E05CF2C;Perissocephalus tricolor;AVIBASE-5E05CF2C;Perissocephalus tricolor;Perissocephalus tricolor;22700943;https://www.iucnredlist.org/details/22700943/0;LC
Phaenicophaeus curvirostris;Phaenicophaeus curvirostris;AVIBASE-529F2C76;Phaenicophaeus curvirostris;AVIBASE-22562CEE;Phaenicophaeus curvirostris;Phaenicophaeus curvirostris;22725423;https://www.iucnredlist.org/details/22725423/0;LC
Phaenicophaeus diardi;Phaenicophaeus diardi;AVIBASE-FCE039DC;Phaenicophaeus diardi;AVIBASE-FCE039DC;Phaenicophaeus diardi;Phaenicophaeus diardi;22684092;https://www.iucnredlist.org/details/22684092/0;NT
Phaenostictus mcleannani;Phaenostictus mcleannani;AVIBASE-C2AB74DB;Phaenostictus mcleannani;AVIBASE-C2AB74DB;Phaenostictus mcleannani;Phaenostictus mcleannani;22701971;https://www.iucnredlist.org/details/22701971/0;LC
Phaeochroa cuvierii;Campylopterus cuvierii;AVIBASE-058A126E;Phaeochroa cuvierii;AVIBASE-058A126E;Phaeochroa cuvierii;Campylopterus cuvierii;22687041;https://www.iucnredlist.org/details/22687041/0;LC
Phaeothlypis fulvicauda;Myiothlypis fulvicauda;AVIBASE-0232E9DC;Myiothlypis fulvicauda;AVIBASE-0232E9DC;Phaeothlypis fulvicauda;Myiothlypis fulvicauda;22722041;https://www.iucnredlist.org/details/22722041/0;LC
Phaethornis bourcieri;Phaethornis bourcieri;AVIBASE-11E72742;Phaethornis bourcieri;AVIBASE-D666062A;Phaethornis bourcieri;Phaethornis bourcieri;154797056;https://www.iucnredlist.org/details/154797056/0;LC
